"param";"value";"Species";"Sex";"Class";"models";"Data";"firstage";"stat"
"NSelect";"1,99000000000000e+02";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"NUncertdeath";"1,99000000000000e+02";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"NBasta";"1,75000000000000e+02";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Ndead";"8,00000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Nrc";"9,50000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"N8090";"2,50000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"N9000";"5,80000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"N0010";"4,50000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"N1020";"4,70000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"N2030";"0,00000000000000e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"QBD10";"1,98800000000000e+03";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"QBD50";"2,00100000000000e+03";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"QBD90";"2,01600000000000e+03";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"BDincert";"3,14171428571429e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"maxAge";"6,34200000000000e+03";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"maxAlive";"6,32700000000000e+03";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"lxMin";"2,34412390042351e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"outLev";"9,50000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"L50";"7,49897330595483e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"MLE";"7,63357289527721e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"L90";"1,19334702258727e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"L90";NA;"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"mean"
"L90";"0,00000000000000e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"lower"
"L90";"1,74000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"upper"
"L50";"9,77833756557837e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"mean"
"L50";"1,01000000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"lower"
"L50";"9,40000000000000e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"upper"
"S1month";"1,00000000000000e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"S1year";"9,90595611285266e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"MLE";"9,10391548907080e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"H";"3,66528519752223e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"Epx";"1,00367894416941e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"G";"2,53171585600445e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"Ex";"1,09125730605673e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"CV";"3,82966193111833e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"KM";"birth";"value"
"b_Gomp";"6,76261948590631e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"b_Gomp";"3,19663460968280e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"b_Gomp";"2,04151132741927e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"b_Gomp";"1,44720536439905e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"MLE";"1,12170219915993e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"MLE";"5,45792495701891e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"MLE";"1,02889024288266e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"MLE";"1,23041252203601e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"H";"4,31259052183393e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"H";"3,75896759417721e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"H";"3,57906876369459e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"H";"5,06432242392494e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"Epx";"8,44807912365926e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"Epx";"8,69042727964443e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"Epx";"6,80364740409078e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"Epx";"1,02752475103363e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"G";"2,80607419344628e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"G";"2,06339399893140e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"G";"2,38704808074734e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"G";"3,20355542726688e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"Hx";"4,85711784043747e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"Hx";"2,99584752586253e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"Hx";"4,20483416323820e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"Hx";"5,44321813714908e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"CV";"4,29216264029280e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"CV";"3,39459284915494e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"sd"
"CV";"3,58551502589085e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"CV";"4,96935018803474e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"remex0";"1,11800913710268e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"remex0";"1,02682826091442e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"remex0";"1,22354924612198e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"L50";"1,14802222222222e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"L50";"1,04962500000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"L50";"1,25547500000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"L90";"1,82695555555556e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"L90";"1,65177500000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"L90";"2,06080000000000e+01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"S1month";"9,89367105776953e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"S1month";"9,97506172795946e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"S1month";"9,94840076015696e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"S1year";"9,52241351709982e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"mean"
"S1year";"9,79517395046332e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"lower"
"S1year";"9,68033091033783e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Model";"birth";"upper"
"Gof_KM_coeff1";"5,47826086956522e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_KM_coeff2";"2,24847493301316e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_martingale";NA;"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"LxatMLE";"4,63172922333973e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"LEmaxOage";"2,45609145477933e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"KMMinLx";"2,34412390042351e-01";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_Martingal_KM";"8,91005661458337e-02";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"Gof_Martingal_test";"1,00000000000000e+00";"Testudo hermanni";"Male";"Reptilia";"from0";"Raw";"birth";"value"
"NSelect";"2,06000000000000e+02";"Testudo hermanni";"Female";"Reptilia";"from0";"Raw";"birth";"value"
