AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@MeasurementValue@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays@Age@UnitOfMeasure
11116@46745@Live weight@@3.215@0@NA@2013-06-17@NA@NA@NA@NA@377@11490@31.47945205479452@kg
21817@138725@Live weight@@1@0@NA@2006-06-09@NA@NA@NA@NA@77@2350@6.438356164383562@kg
27856@138725@Dead weight@@0.55@0@NA@2012-03-01@NA@NA@NA@NA@147@4491@12.304109589041095@kg
30409@76646@Live weight@@0.215@0@NA@2011-10-07@NA@NA@NA@NA@74@2258@6.186301369863013@kg
30409@76646@Live weight@@0.82@0@NA@2019-11-06@NA@NA@NA@NA@171@5210@14.273972602739725@kg
30409@76646@Live weight@@0.79@0@NA@2021-04-26@NA@NA@NA@NA@188@5747@15.745205479452055@kg
40860@165198@Live weight@@1825@0@NA@1987-11-11@NA@NA@NA@NA@46@1410@3.863013698630137@kg
48656@164723@Live weight@@0.55@0@NA@1993-06-09@NA@NA@NA@NA@0@0@0@kg
51341@120859@Live weight@@1.16@0@NA@1987-08-03@NA@NA@NA@NA@274@8349@22.873972602739727@kg
65328@129985@Live weight@@0.452@0@NA@2014-11-17@NA@NA@NA@NA@46@1407@3.8547945205479452@kg
65328@129985@Live weight@@0.488@0@NA@2014-03-31@NA@NA@NA@NA@38@1176@3.221917808219178@kg
65328@129985@Live weight@@0.551@0@NA@2015-03-13@NA@NA@NA@NA@50@1523@4.1726027397260275@kg
69507@23814@Live weight@@1.01@0@NA@1995-07-11@NA@NA@NA@NA@181@5518@15.117808219178082@kg
69507@23814@Live weight@@1@0@NA@1995-01-17@NA@NA@NA@NA@175@5343@14.638356164383561@kg
76433@78043@Live weight@@0.96@0@NA@2023-10-26@NA@NA@NA@NA@225@6872@18.827397260273973@kg
78706@138725@Live weight@@1.72@0@NA@2020-07-13@NA@NA@NA@NA@108@3316@9.084931506849315@kg
78706@138725@Live weight@@1.55@0@NA@2022-02-27@NA@NA@NA@NA@128@3910@10.712328767123287@kg
78706@138725@Live weight@@1.46@0@NA@2020-01-06@NA@NA@NA@NA@102@3127@8.567123287671233@kg
78706@138725@Live weight@@1.55@0@NA@2021-12-05@NA@NA@NA@NA@125@3826@10.482191780821918@kg
78706@138725@Live weight@@1.62@0@NA@2020-10-21@NA@NA@NA@NA@112@3416@9.35890410958904@kg
78706@138725@Live weight@@1.43@0@NA@2019-12-02@NA@NA@NA@NA@101@3092@8.471232876712328@kg
78706@138725@Live weight@@1.33@0@NA@2017-07-18@NA@NA@NA@NA@73@2225@6.095890410958904@kg
78706@138725@Live weight@@1.59@0@NA@2021-02-02@NA@NA@NA@NA@115@3520@9.643835616438356@kg
78706@138725@Live weight@@1.5@0@NA@2020-06-24@NA@NA@NA@NA@108@3297@9.032876712328767@kg
78706@138725@Live weight@@1.55@0@NA@2021-11-27@NA@NA@NA@NA@125@3818@10.46027397260274@kg
78706@138725@Live weight@@1.5@0@NA@2019-01-09@NA@NA@NA@NA@90@2765@7.575342465753424@kg
