AnimalAnonID@EventType@TermType@Date@From@To
569130@Birth/hatch@Birth/hatch (physical and ownership)@1997-08-04 00:00:00.000@NA@123623
615167@Birth/hatch@Birth/hatch (physical and ownership)@2014-08-29 00:00:00.000@NA@115933
628911@Undetermined@Undetermined (physical and ownership)@2010-01-01 00:00:00.000@NA@39323
611074@Birth/hatch@Birth/hatch (physical and ownership)@2012-09-09 00:00:00.000@NA@123623
649340@From another institution@Loan in from (physical only)@2002-11-12 00:00:00.000@NA@40446
651255@Term-free acquisition@Term free acquisition@2008-01-28 00:00:00.000@NA@15545
714346@Rescued@Rescued (physical and ownership)@2015-09-16 00:00:00.000@NA@15939
714656@Birth/hatch@Birth/hatch (physical only)@2000-07-30 00:00:00.000@NA@21224
693126@Term-free acquisition@Term free acquisition@1997-01-01 00:00:00.000@NA@87126
665215@Rescued@Rescued (physical only)@2015-04-14 00:00:00.000@NA@36548
354895@From another institution@Loan in from (physical only)@1994-10-05 00:00:00.000@NA@161038
412688@From another institution@Donation from (physical and ownership)@1980-06-10 00:00:00.000@NA@138459
413204@Rescued@Rescued (physical and ownership)@2020-07-05 00:00:00.000@NA@135058
1074687@Rescued@Rescued (physical and ownership)@2021-05-25 00:00:00.000@NA@123651
1171510@Birth/hatch@Birth/hatch (physical and ownership)@2008-08-12 00:00:00.000@NA@61793
1348443@From another institution@Loan in from (physical only)@1998-09-30 00:00:00.000@NA@41678
1226513@From another institution@Loan in from (physical only)@1993-06-09 00:00:00.000@NA@164723
790363@Term-free acquisition@Term free acquisition@2000-03-15 00:00:00.000@NA@108267
769696@Birth/hatch@Birth/hatch (physical and ownership)@2011-09-04 00:00:00.000@NA@149148
796655@From another institution@Loan in from (physical only)@1996-11-08 00:00:00.000@NA@165198
1124495@Birth/hatch@Birth/hatch (physical and ownership)@2019-07-11 00:00:00.000@NA@115108
1483928@Rescued@Rescued (physical and ownership)@2021-09-30 00:00:00.000@NA@11635
949794@Birth/hatch@Birth/hatch (physical and ownership)@2013-09-17 00:00:00.000@NA@115683
962002@Birth/hatch@Birth/hatch (physical and ownership)@1994-08-15 00:00:00.000@NA@48819
