AnimalAnonID@RecordingInstitution@MeasurementType@RecordType@WeightValueKg@EstimatedMeasurement@ExcludededFromNorms@MeasurementDate@MeasurementDateEstimateType@MeasurementDateEstimateStart@MeasurementDateEstimateEnd@CollectionScopeType@AnimalAgeMonths@AnimalAgeDays
11116@46745@Live weight@@3.215@0@NA@2013-06-17@@@@NA@377@11490
21817@138725@Live weight@@1@0@NA@2006-06-09@@@@NA@77@2350
27856@138725@Dead weight@@0.55@0@NA@2012-03-01@@@@NA@147@4491
30409@76646@Live weight@@0.215@0@NA@2011-10-07@@@@NA@74@2258
30409@76646@Live weight@@0.82@0@NA@2019-11-06@@@@NA@171@5210
30409@76646@Live weight@@0.79@0@NA@2021-04-26@@@@NA@188@5747
40860@165198@Live weight@@1825@0@NA@1987-11-11@@@@NA@46@1410
48656@164723@Live weight@@0.55@0@NA@1993-06-09@@@@NA@0@0
51341@120859@Live weight@@1.16@0@NA@1987-08-03@@@@NA@274@8349
65328@129985@Live weight@@0.452@0@NA@2014-11-17@@@@NA@46@1407
65328@129985@Live weight@@0.488@0@NA@2014-03-31@@@@NA@38@1176
65328@129985@Live weight@@0.551@0@NA@2015-03-13@@@@NA@50@1523
69507@23814@Live weight@@1.01@0@NA@1995-07-11@@@@NA@181@5518
69507@23814@Live weight@@1@0@NA@1995-01-17@@@@NA@175@5343
76433@78043@Live weight@@0.96@0@NA@2023-10-26@@@@NA@225@6872
78706@138725@Live weight@@1.72@0@NA@2020-07-13@@@@NA@108@3316
78706@138725@Live weight@@1.55@0@NA@2022-02-27@@@@NA@128@3910
78706@138725@Live weight@@1.46@0@NA@2020-01-06@@@@NA@102@3127
78706@138725@Live weight@@1.55@0@NA@2021-12-05@@@@NA@125@3826
78706@138725@Live weight@@1.62@0@NA@2020-10-21@@@@NA@112@3416
78706@138725@Live weight@@1.43@0@NA@2019-12-02@@@@NA@101@3092
78706@138725@Live weight@@1.33@0@NA@2017-07-18@@@@NA@73@2225
78706@138725@Live weight@@1.59@0@NA@2021-02-02@@@@NA@115@3520
78706@138725@Live weight@@1.5@0@NA@2020-06-24@@@@NA@108@3297
78706@138725@Live weight@@1.55@0@NA@2021-11-27@@@@NA@125@3818
78706@138725@Live weight@@1.5@0@NA@2019-01-09@@@@NA@90@2765
78706@138725@Live weight@@1.53@0@NA@2021-01-20@@@@NA@115@3507
78706@138725@Live weight@@1.53@0@NA@2022-11-17@@@@NA@137@4173
78706@138725@Live weight@@1.6@0@NA@2021-03-31@@@@NA@117@3577
86518@90434@Live weight@@1.92@0@NA@2019-06-06@@@@NA@492@14980
86518@90434@Live weight@@1.94@0@NA@2019-08-06@@@@NA@494@15041
99904@6365@Live weight@@2.593@0@NA@2017-07-24@@@@NA@42@1300
106708@165187@Live weight@@1.17@0@NA@2022-02-01@@@@NA@126@3837
120627@69811@Live weight@@0.994@0@NA@2021-03-15@@@@NA@191@5827
137424@44462@Live weight@@0.03794@0@NA@2013-04-26@@@@NA@8@259
146000@8383@Dead weight@Necropsy-CarcassWeight@2.1@0@NA@2005-09-02@@@@NA@308@9376
178403@23814@Live weight@@1.95@0@NA@1996-12-17@@@@NA@78@2401
178403@23814@Live weight@@1.904@0@NA@1994-02-14@@@@NA@44@1364
178403@23814@Live weight@@2@0@NA@1997-05-17@@@@NA@83@2552
178403@23814@Live weight@@2@0@NA@1997-06-13@@@@NA@84@2579
178403@23814@Live weight@@1.88@0@NA@1992-10-29@@@@NA@29@891
178403@23814@Live weight@@1.911@0@NA@1992-01-21@@@@NA@19@609
178403@23814@Live weight@@1.922@0@NA@1991-06-11@@@@NA@12@385
178403@23814@Live weight@@1.832@0@NA@1996-01-30@@@@NA@68@2079
178403@23814@Live weight@@1.679@0@NA@1993-06-25@@@@NA@37@1130
188490@164723@Live weight@@0.8@0@NA@1993-06-09@@@@NA@0@0
191513@114122@Live weight@@1.175@0@NA@2016-08-04@@@@NA@469@14276
191513@114122@Live weight@@1.2@0@NA@2016-05-26@@@@NA@466@14206
191513@114122@Live weight@@1.076@0@NA@2006-03-28@@@@NA@344@10494
191513@114122@Live weight@@1.175@0@NA@2017-03-16@@@@NA@476@14500
191513@114122@Live weight@@1.237@0@NA@2016-06-02@@@@NA@466@14213
197027@33954@Live weight@@0.22@0@NA@1991-11-10@@@@NA@0@1
220777@122408@Live weight@@1.15@0@NA@1989-03-21@@@@NA@33@1026
237562@23814@Live weight@@2.4@0@NA@1996-06-23@@@@NA@252@7693
237562@23814@Live weight@@2.15@0@NA@1996-04-11@@@@NA@250@7620
237562@23814@Live weight@@2.236@0@NA@1996-01-07@@@@NA@247@7525
237562@23814@Live weight@@2.204@0@NA@1996-03-05@@@@NA@249@7583
237562@23814@Live weight@@2.222@0@NA@1996-01-30@@@@NA@247@7548
237562@23814@Live weight@@2.4@0@NA@1995-07-11@@@@NA@241@7345
237562@23814@Live weight@@2.04@0@NA@1996-08-15@@@@NA@254@7746
242874@153376@Live weight@@0.5@0@NA@2018-01-06@@@@NA@216@6580
255293@44462@Live weight@@0.0298@0@NA@2014-02-26@@@@NA@18@565
255293@44462@Live weight@@0.028@0@NA@2013-11-01@@@@NA@14@448
259472@33954@Live weight@@0.885@0@NA@2009-07-08@@@@NA@144@4394
260352@138725@Live weight@@1@0@NA@2021-06-24@@@@NA@120@3662
260352@138725@Live weight@@1.2@0@NA@2022-10-15@@@@NA@136@4140
260352@138725@Live weight@@0.467@0@NA@2017-04-28@@@@NA@70@2144
260352@138725@Live weight@@1.14@0@NA@2022-08-21@@@@NA@134@4085
260352@138725@Live weight@@1.01@0@NA@2020-03-16@@@@NA@105@3197
260352@138725@Live weight@@1.12@0@NA@2022-09-13@@@@NA@134@4108
260352@138725@Live weight@@1.25@0@NA@2021-06-05@@@@NA@119@3643
260352@138725@Live weight@@0.76@0@NA@2019-03-06@@@@NA@92@2821
260352@138725@Live weight@@0.73@0@NA@2019-09-26@@@@NA@99@3025
260352@138725@Live weight@@0.78@0@NA@2018-12-06@@@@NA@89@2731
260352@138725@Live weight@@1.15@0@NA@2020-09-16@@@@NA@111@3381
260352@138725@Live weight@@1.17@0@NA@2021-04-21@@@@NA@118@3598
271013@78043@Live weight@@2.98@0@NA@2015-11-12@@@@NA@148@4533
271013@78043@Live weight@@3.15@0@NA@2023-06-16@@@@NA@240@7306
278187@115683@Live weight@@0.555@0@NA@2023-05-26@@@@NA@128@3914
281958@123651@Live weight@@0.915@0@NA@2020-09-17@@@@NA@20@625
285429@120782@Live weight@@0.81@0@NA@2022-05-25@@@@NA@130@3980
290440@137182@Live weight@@1.107@0@NA@2017-04-21@@@@NA@161@4925
300843@34263@Live weight@@3.296@0@NA@2008-05-25@@@@NA@840@25568
302680@108574@Live weight@@0.95@0@NA@2021-05-01@@@@NA@136@4138
321094@23814@Live weight@@2.033@0@NA@1992-05-04@@@@NA@263@8008
321094@23814@Live weight@@1.985@0@NA@1994-01-05@@@@NA@283@8619
321094@23814@Live weight@@2.11@0@NA@1996-08-15@@@@NA@314@9572
321094@23814@Live weight@@2.1@0@NA@1997-04-17@@@@NA@322@9817
321094@23814@Live weight@@1.961@0@NA@1996-02-18@@@@NA@308@9393
321094@23814@Live weight@@1.97@0@NA@1996-02-11@@@@NA@308@9386
321094@23814@Live weight@@2.2@0@NA@1994-02-23@@@@NA@284@8668
321094@23814@Live weight@@2.1@0@NA@1996-11-30@@@@NA@317@9679
331112@129985@Live weight@@0.431@0@NA@2015-01-16@@@@NA@54@1647
331112@129985@Live weight@@0.469@0@NA@2015-03-10@@@@NA@55@1700
341653@15939@Live weight@@0.518@0@NA@2022-05-23@@@@NA@76@2334
341653@15939@Live weight@@0.49@0@NA@2021-05-31@@@@NA@64@1977
341653@15939@Live weight@@0.415@0@NA@2018-10-17@@@@NA@33@1020
372543@168670@Live weight@@0.543@0@NA@2020-12-11@@@@NA@19@590
372543@168670@Live weight@@0.735@0@NA@2020-05-02@@@@NA@12@367
372543@168670@Live weight@@0.658@0@NA@2019-12-12@@@@NA@7@225
372543@168670@Live weight@@0.646@0@NA@2020-01-08@@@@NA@8@252
381026@129985@Live weight@@0.694@0@NA@2016-09-05@@@@NA@94@2889
386017@78043@Live weight@@0.95@0@NA@2013-12-10@@@@NA@107@3265
386017@78043@Live weight@@0.86@0@NA@2022-10-24@@@@NA@213@6505
386017@78043@Live weight@@0.96@0@NA@2017-11-19@@@@NA@154@4705
386017@78043@Live weight@@0.9@0@NA@2016-11-04@@@@NA@142@4325
386536@19749@Live weight@@0.017@0@NA@2019-10-10@@@@NA@2@79
393088@156191@Live weight@@0.567@0@NA@2020-09-01@@@@NA@98@3003
393088@156191@Live weight@@0.543@0@NA@2023-07-16@@@@NA@133@4051
393088@156191@Live weight@@0.37@0@NA@2015-12-06@@@@NA@41@1272
393088@156191@Live weight@@0.445@0@NA@2017-06-01@@@@NA@59@1815
393088@156191@Live weight@@0.432@0@NA@2016-10-07@@@@NA@51@1578
393088@156191@Live weight@@0.585@0@NA@2021-10-03@@@@NA@111@3400
393355@53012@Live weight@@0.477@0@NA@2016-01-24@@@@NA@36@1118
396342@129985@Live weight@@0.302@0@NA@2015-02-13@@@@NA@60@1830
396342@129985@Live weight@@0.36@0@NA@2015-10-22@@@@NA@68@2081
396342@129985@Live weight@@0.342@0@NA@2014-10-13@@@@NA@56@1707
396342@129985@Live weight@@0.304@0@NA@2014-12-28@@@@NA@58@1783
396342@129985@Live weight@@0.363@0@NA@2015-09-21@@@@NA@67@2050
404931@8383@Dead weight@@1.856@0@NA@2004-05-05@@@@NA@232@7064
407289@138725@Live weight@@1.925@0@NA@2009-07-14@@@@NA@738@22475
407289@138725@Live weight@@2.05@0@NA@2009-12-20@@@@NA@743@22634
407289@138725@Live weight@@1.825@0@NA@2008-06-12@@@@NA@725@22078
407289@138725@Live weight@@1.96@0@NA@2009-05-22@@@@NA@736@22422
430412@34263@Live weight@@0.553@0@NA@2015-09-01@@@@NA@55@1678
433912@21224@Live weight@@0.9@0@NA@2018-10-08@@@@NA@36@1102
